Date,Open,High,Low,Close,Adj Close,Volume
2018-06-19,423.557709,425.424286,414.535889,423.402191,312.896484,2487759
2018-06-20,424.957703,431.023987,422.935486,425.424286,314.390839,1872400
2018-06-21,425.735413,428.535309,417.802399,419.046814,309.677795,1818974
2018-06-22,421.535614,427.913086,420.913391,426.357605,315.080475,1468532
2018-06-25,423.713287,425.424286,415.313690,416.869202,308.068512,1866562
2018-06-26,419.980103,424.957703,413.135986,417.958008,308.873169,2185757
2018-06-27,419.669006,419.669006,405.980804,414.691498,306.459229,3265851
2018-06-28,410.958313,415.158112,396.647888,415.158112,306.804108,3011817
2018-06-29,419.980103,425.890900,414.380402,418.424591,309.217957,2923064
2018-07-02,412.202698,422.002197,408.313995,412.047211,304.505035,1817089
2018-07-03,416.402496,422.935486,410.958313,419.669006,310.137665,8846177
2018-07-04,419.980103,432.268402,419.513489,429.935211,317.724396,1608436
2018-07-05,431.179596,438.490387,424.179901,427.446411,315.885132,2086756
2018-07-06,429.312988,431.646210,425.579895,429.312988,317.264557,1752693
2018-07-09,430.090790,444.401215,430.090790,441.756897,326.460693,2461036
2018-07-10,445.178894,448.756500,432.735107,433.979492,320.713165,1700416
2018-07-11,431.801788,433.668396,420.135712,420.135712,310.482483,1639609
2018-07-12,420.913391,426.357605,417.958008,422.157806,311.976868,1506037
2018-07-13,424.024414,427.913086,422.624390,424.024414,313.356323,1304373
2018-07-16,422.002197,427.446411,418.735687,423.417694,312.907928,1105369
2018-07-17,420.602295,427.290894,418.424591,424.802094,313.930969,1419795
2018-07-18,428.535309,432.579498,422.935486,431.335114,318.758972,1662342
2018-07-19,432.735107,432.735107,423.091095,424.957703,314.046021,1656964
2018-07-20,425.735413,427.446411,421.069000,423.868805,313.241302,1805122
2018-07-23,421.691101,428.535309,417.491302,420.757904,310.942352,1394412
2018-07-24,424.957703,436.157104,424.802094,430.712891,318.299103,1730946
2018-07-25,428.690796,435.068298,425.268799,426.824188,315.425385,2369295
2018-07-26,416.713593,423.402191,416.713593,422.468903,322.404053,2254787
2018-07-27,420.913391,429.935211,420.913391,426.357605,325.371674,1875945
2018-07-30,421.691101,435.690491,421.691101,433.668396,330.950897,1811106
2018-07-31,430.557404,435.379395,428.379700,429.157501,327.508423,6915903
2018-08-01,429.935211,429.935211,420.602295,422.935486,322.760132,3095552
2018-08-02,419.980103,421.380096,409.558411,413.602600,315.637817,4692109
2018-08-03,411.424988,419.513489,409.402802,417.024689,318.249329,1142205
2018-08-06,419.669006,419.669006,413.135986,413.602600,315.637817,1309744
2018-08-07,411.113892,426.201996,411.113892,422.002197,322.047943,1388395
2018-08-08,420.135712,425.424286,419.046814,421.224487,321.454437,1502947
2018-08-09,420.291199,420.602295,417.958008,418.269104,319.199036,850231
2018-08-10,411.424988,412.513794,402.714294,405.980804,309.821320,1810648
2018-08-13,403.647614,403.647614,388.092712,396.025696,302.224091,2103637
2018-08-14,397.114502,406.447388,396.336792,396.336792,302.461487,2364844
2018-08-15,396.025696,400.536591,380.393097,383.270691,292.490234,1945904
2018-08-16,389.959290,392.759186,385.215088,391.670288,298.900330,2178322
2018-08-17,388.326111,393.070313,379.693115,387.703888,295.873383,2405359
2018-08-20,391.048187,397.581207,388.248291,389.492706,297.238556,1836586
2018-08-21,389.959290,394.470215,388.559387,392.448090,299.493896,2316431
2018-08-22,388.792694,396.647888,388.792694,391.514801,298.781677,2070667
2018-08-23,391.048187,395.870087,388.326111,389.026001,296.882385,2038436
2018-08-24,389.648193,394.470215,387.703888,391.514801,298.781677,1162392
2018-08-28,400.381012,420.291199,400.381012,412.202698,314.569489,4178667
2018-08-29,409.091705,415.313690,402.558685,403.647614,308.040771,2479011
2018-08-30,400.381012,405.358612,395.092407,395.247986,301.630615,2412080
2018-08-31,398.203400,401.003204,391.048187,393.847992,300.562195,2712333
2018-09-03,395.092407,404.736389,395.092407,401.158813,306.141449,2000506
2018-09-04,401.469910,404.425293,381.481903,387.470490,295.695313,3179605
2018-09-05,386.070587,386.070587,374.093414,378.215393,288.632324,2879472
2018-09-06,376.193298,387.703888,373.937805,379.615387,289.700684,2327432
2018-09-07,380.548615,382.026398,373.082306,378.371002,288.751068,3073947
2018-09-10,379.615387,379.615387,372.304596,374.093414,285.486694,4453761
2018-09-11,378.915405,378.915405,372.148987,377.204407,287.860840,2584460
2018-09-12,377.437714,380.704193,374.248901,380.237488,290.175507,2740716
2018-09-13,382.181885,385.759491,376.426605,376.971008,287.682709,3480185
2018-09-14,421.691101,425.890900,400.536591,408.469604,311.720612,7762668
2018-09-17,408.313995,408.313995,391.981415,393.536896,300.324860,7737823
2018-09-18,396.647888,405.980804,391.048187,401.314301,306.260101,4640449
2018-09-19,401.625397,416.402496,398.514496,415.469208,317.062317,6997656
2018-09-20,416.091400,425.424286,412.358307,424.490997,323.947235,3683089
2018-09-21,426.979797,438.490387,425.268799,436.312714,332.968842,6031362
2018-09-24,431.646210,437.868195,427.135315,427.135315,325.965210,1329073
2018-09-25,427.757507,431.490692,423.713287,425.268799,324.540802,2065229
2018-09-26,427.757507,433.512787,424.179901,430.246307,328.339355,2885978
2018-09-27,427.446411,435.379395,425.890900,433.357300,330.713501,1991058
2018-09-28,426.046509,432.890594,415.469208,419.669006,320.267395,3473468
2018-10-01,420.291199,424.646606,412.358307,414.380402,316.231384,2784253
2018-10-02,411.736115,415.158112,404.114197,413.291504,315.400391,1769830
2018-10-03,416.402496,417.646912,403.336487,405.825195,309.702545,2600326
2018-10-04,403.492004,403.492004,391.981415,396.181213,302.342804,4896875
2018-10-05,396.181213,396.181213,387.781586,391.981415,299.137787,2340475
2018-10-08,388.559387,388.870514,382.648499,384.903992,293.736694,2830020
2018-10-09,388.792694,388.792694,376.193298,383.504089,292.668335,4190711
2018-10-10,382.648499,387.859406,378.371002,378.526489,288.869720,2958278
2018-10-11,370.826904,374.404510,362.971710,362.971710,276.999237,3804290
2018-10-12,372.615692,377.204407,368.027008,372.304596,284.121552,6549466
2018-10-15,371.760193,375.648895,367.326996,372.382385,284.180908,2317635
2018-10-16,374.948914,378.293213,368.260315,376.659912,287.445251,1857197
2018-10-17,381.792999,385.448395,376.193298,378.604309,288.929138,2446231
2018-10-18,377.593201,382.181885,375.571106,376.037689,286.970398,1556426
2018-10-19,376.193298,383.892914,371.371307,373.393402,284.952454,1803178
2018-10-22,375.959991,381.481903,375.026703,375.882202,286.851746,1848247
2018-10-23,371.760193,373.626801,362.893890,363.827209,277.652100,2178861
2018-10-24,365.460510,373.704498,364.605011,364.916107,278.483063,2757217
2018-10-25,358.382996,371.293488,353.016602,370.749115,282.934509,1986932
2018-10-26,364.605011,368.338104,358.694092,362.427307,276.583771,2340191
2018-10-29,366.938202,376.815491,364.682709,369.971405,282.340973,2692906
2018-10-30,372.460114,378.215393,368.804810,375.493286,286.554932,1756426
2018-10-31,381.948608,383.970703,370.282501,376.426605,287.267242,2627092
2018-11-01,373.315704,382.026398,371.760193,381.559692,291.184509,2869952
2018-11-02,387.315002,390.737091,385.759491,386.848297,295.220459,2517604
2018-11-05,381.404205,394.314697,381.404205,387.626099,295.814056,1809310
2018-11-06,389.492706,390.581512,380.782013,384.048492,293.083832,4711529
2018-11-07,382.881897,396.803406,382.726288,393.847992,300.562195,3342467
2018-11-08,398.981110,401.469910,389.803802,392.603607,299.612549,2200072
2018-11-09,389.648193,391.670288,383.037415,386.614990,295.042389,2276001
2018-11-12,393.070313,393.070313,380.704193,381.093109,290.828430,1637138
2018-11-13,384.359589,388.248291,379.615387,387.081696,295.398590,1890952
2018-11-14,383.815186,389.492706,380.159790,383.581787,292.727692,2193010
2018-11-15,383.892914,390.114899,368.571411,377.982086,288.454254,2604604
2018-11-16,378.215393,393.225800,378.215393,388.714905,296.644989,3346151
2018-11-19,391.670288,395.403503,389.492706,389.492706,297.238556,2353813
2018-11-20,388.870514,388.870514,375.337799,376.582214,287.385956,3060190
2018-11-21,382.493011,385.137299,379.459808,384.126312,293.143188,2570802
2018-11-22,385.370605,385.370605,376.504395,378.682098,288.988495,1812521
2018-11-23,377.904297,378.682098,370.204712,374.326691,285.664734,2595278
2018-11-26,377.982086,383.115204,374.559998,380.548615,290.412933,3327076
2018-11-27,377.282104,383.581787,376.659912,376.659912,287.445251,1825792
2018-11-28,380.393097,384.281799,375.959991,378.137604,288.572937,3703623
2018-11-29,381.481903,389.026001,379.537598,380.548615,290.412933,4685436
2018-11-30,381.404205,381.404205,369.660309,370.437988,282.697052,4487236
2018-12-03,377.204407,379.148712,375.571106,376.659912,287.445251,3460017
2018-12-04,375.182190,377.048798,367.793701,367.793701,280.679077,1673091
2018-12-05,363.360596,366.860413,359.160797,363.282806,277.236603,1447537
2018-12-06,355.427612,357.449707,336.761810,337.228485,265.389343,2441712
2018-12-07,340.806091,349.594604,340.806091,343.139313,270.040955,2358360
2018-12-10,338.706207,342.205994,334.273102,334.273102,263.063568,1455058
2018-12-11,337.461792,342.361603,331.784302,335.439697,263.981598,3128860
2018-12-12,338.628387,345.705811,335.673004,344.617004,271.203857,2627765
2018-12-13,344.383698,349.750092,339.872803,340.183899,267.715149,2126014
2018-12-14,335.361908,338.161804,330.228790,337.928406,265.940125,2093666
2018-12-17,335.984100,340.961609,332.950897,333.728607,262.635040,2315224
2018-12-18,332.639801,333.962006,328.673309,331.317596,260.737610,2674010
2018-12-19,330.462097,339.095001,329.684387,337.306213,265.450500,2512694
2018-12-20,326.651215,340.339386,326.651215,334.895203,263.553070,2730383
2018-12-21,336.450714,338.317291,331.939789,338.239502,266.184967,4497610
2018-12-24,329.762207,333.106415,328.984406,329.295502,259.146271,671057
2018-12-27,336.139587,336.139587,328.362213,331.706512,261.043671,2544460
2018-12-28,333.806396,341.817108,332.795288,341.428314,268.694489,1374736
2018-12-31,347.028015,347.028015,337.695099,343.061493,269.979736,326220
2019-01-02,341.117188,343.605896,328.984406,342.906006,269.857391,1734770
2019-01-03,340.417206,345.861389,333.962006,340.261688,267.776367,1074524
2019-01-04,347.105804,352.316589,342.594910,352.316589,277.263214,1785518
2019-01-07,355.583191,363.282806,354.416504,359.782990,283.139038,2718958
2019-01-08,359.549591,363.438293,356.594208,359.549591,282.955383,1560983
2019-01-09,362.349487,371.760193,359.316315,368.571411,290.055298,2104769
2019-01-10,362.505096,372.304596,362.505096,371.138000,292.075165,1355979
2019-01-11,370.282501,378.448700,370.282501,375.726715,295.686340,1214661
2019-01-14,370.826904,377.048798,370.204712,376.737701,296.481934,1503502
2019-01-15,379.537598,380.159790,368.027008,374.482300,294.707031,2624284
2019-01-16,376.815491,383.815186,373.237915,378.371002,297.767303,2298510
2019-01-17,377.126587,379.070892,368.882507,376.115509,295.992340,1750797
2019-01-18,376.037689,380.548615,367.482605,380.393097,299.358612,1781052
2019-01-21,381.015289,383.581787,376.426605,381.715302,300.399200,843671
2019-01-22,376.348785,384.903992,376.348785,381.870789,300.521545,1415015
2019-01-23,379.381989,383.892914,379.381989,382.726288,301.194794,1565257
2019-01-24,383.426300,384.359589,379.770905,381.404205,300.154358,1349602
2019-01-25,383.892914,387.003906,380.937500,382.881897,301.317261,1843463
2019-01-28,382.648499,383.659607,377.204407,377.204407,296.849243,1216880
2019-01-29,379.770905,383.737396,374.871094,379.926514,298.991425,1629215
2019-01-30,383.192993,388.326111,381.870789,386.692810,304.316315,1528504
2019-01-31,388.870514,396.647888,378.915405,380.470886,299.419861,3332358
2019-02-01,382.648499,386.614990,381.792999,384.281799,302.418915,1989001
2019-02-04,386.070587,386.070587,375.026703,377.515503,297.094086,2112222
2019-02-05,376.737701,383.815186,375.260010,383.815186,302.051727,2418778
2019-02-06,384.981812,391.981415,382.415192,388.248291,305.540497,1581840
2019-02-07,385.915100,388.637207,375.726715,375.726715,295.686340,1716663
2019-02-08,376.659912,381.170807,370.437988,371.682404,292.503571,953840
2019-02-11,374.715607,377.437714,372.226807,375.882202,295.808655,1118190
2019-02-12,377.204407,381.559692,376.582214,379.070892,298.318115,1527957
2019-02-13,381.481903,386.303894,378.993195,383.348511,301.684479,1129336
2019-02-14,384.204010,384.204010,373.782288,377.593201,297.155273,1364915
2019-02-15,374.482300,385.526215,373.004608,383.348511,301.684479,1950025
2019-02-18,382.570801,385.059509,379.226501,383.504089,301.806915,961904
2019-02-19,381.481903,382.337494,371.371307,374.326691,294.584564,2039084
2019-02-20,373.160095,377.282104,370.282501,376.426605,296.237091,2072241
2019-02-21,375.571106,378.993195,374.015594,377.904297,297.399994,2080623
2019-02-22,380.237488,384.515106,378.993195,379.148712,298.379333,1466718
2019-02-25,383.426300,387.470490,382.804108,384.670685,302.724976,1652547
2019-02-26,384.048492,388.870514,382.259705,384.126312,302.296600,1482915
2019-02-27,386.926086,386.926086,380.626404,382.959595,301.378418,1498052
2019-02-28,379.459808,385.681702,379.459808,383.270691,301.623230,2253361
2019-03-01,384.126312,388.870514,384.126312,384.981812,302.969849,1871819
2019-03-04,385.526215,388.092712,379.304291,381.093109,299.909515,1333787
2019-03-05,380.004211,380.004211,373.004608,374.404510,294.645813,2012187
2019-03-06,374.171204,374.793396,371.526886,373.004608,293.544098,1525151
2019-03-07,370.593597,370.593597,361.571808,361.649506,284.607941,1362160
2019-03-08,359.160797,359.471893,354.649902,357.994202,281.731354,1015390
2019-03-11,358.460785,362.738403,356.594208,357.838593,281.608887,1277173
2019-03-12,357.916412,363.127197,356.127594,360.794006,283.934723,1370700
2019-03-13,360.016296,364.371613,360.016296,364.371613,286.750214,1515869
2019-03-14,361.805115,368.804810,357.994202,367.482605,289.198456,2274344
2019-03-15,369.271393,374.793396,365.071594,368.882507,290.300140,4018606
2019-03-18,367.871490,371.993500,366.160400,367.871490,289.504517,1269882
2019-03-19,368.649200,373.237915,368.649200,370.360199,291.463043,1084434
2019-03-20,366.938202,367.638092,353.327698,353.638794,278.303741,8758116
2019-03-21,355.038696,357.605286,351.616699,356.516388,280.568359,1619537
2019-03-22,353.872101,361.260712,338.939514,340.183899,267.715149,2193455
2019-03-25,337.539612,345.316986,334.039703,336.450714,264.777191,2493864
2019-03-26,340.183899,342.594910,332.873108,334.895203,263.553070,1593156
2019-03-27,338.084015,342.205994,335.595215,337.072906,265.266846,1801946
2019-03-28,335.984100,339.950592,333.184204,336.839600,265.083252,1620770
2019-03-29,339.717194,347.416901,339.717194,343.994812,270.714203,2353510
2019-04-01,346.172485,361.571808,346.172485,356.749786,280.752014,2671998
2019-04-02,359.316315,362.427307,354.494293,358.460785,282.098511,1774573
2019-04-03,351.538910,370.593597,351.538910,369.893585,291.095856,2289263
2019-04-04,368.104797,371.837891,367.015991,371.293488,292.197510,1479966
2019-04-05,372.848999,375.882202,369.271393,374.404510,294.645813,1301887
2019-04-08,371.915710,374.248901,370.049103,373.937805,294.278534,1231063
2019-04-09,373.315704,373.704498,368.493713,371.215790,292.136353,1870152
2019-04-10,371.371307,378.759796,369.271393,375.026703,295.135437,2081537
2019-04-11,375.571106,376.971008,369.426910,375.571106,295.563904,2571369
2019-04-12,376.659912,384.204010,371.449097,384.204010,302.357727,1520619
2019-04-15,384.981812,392.448090,384.204010,388.559387,305.785309,1759832
2019-04-16,390.425995,399.136688,388.015015,395.870087,311.538605,2255100
2019-04-17,395.870087,400.536591,395.870087,398.825592,313.864471,1175661
2019-04-18,396.647888,400.225494,392.759186,399.914398,314.721375,1005707
2019-04-23,400.692108,401.158813,391.048187,391.203705,307.866272,2266076
2019-04-24,389.803802,392.914703,382.959595,387.081696,304.622345,2190659
2019-04-25,388.092712,388.092712,379.459808,381.248596,300.031921,1615022
2019-04-26,382.726288,382.726288,376.815491,380.470886,299.419861,2390439
2019-04-29,381.559692,386.848297,380.159790,384.981812,302.969849,1529413
2019-04-30,383.348511,384.592896,375.337799,377.204407,296.849243,1924861
2019-05-01,384.515106,384.515106,376.815491,378.371002,297.767303,2296228
2019-05-02,375.648895,388.403809,373.393402,384.359589,302.480164,1588742
2019-05-03,385.759491,386.459503,381.481903,382.415192,300.949951,2238512
2019-05-07,378.915405,382.648499,373.937805,374.093414,294.401001,1646369
2019-05-08,374.326691,379.226501,373.315704,377.670990,297.216431,1368756
2019-05-09,376.115509,376.504395,366.393799,369.193604,290.544922,2848076
2019-05-10,371.682404,380.004211,368.649200,371.293488,292.197510,2411090
2019-05-13,371.760193,375.337799,366.860413,366.860413,288.708801,2187049
2019-05-14,368.649200,377.593201,368.649200,377.593201,297.155273,2073961
2019-05-15,376.504395,377.593201,369.815796,374.326691,294.584564,2150161
2019-05-16,375.260010,394.936890,373.860107,394.003601,310.069702,2158384
