"Date","Spot exchange rate, US $ into Sterling                          XUDLUSS"
"07 Aug 20","1.3051"
"06 Aug 20","1.3143"
"05 Aug 20","1.3143"
"04 Aug 20","1.3079"
"03 Aug 20","1.3032"
"31 Jul 20","1.3126"
"30 Jul 20","1.3046"
"29 Jul 20","1.2966"
"28 Jul 20","1.2947"
"27 Jul 20","1.2895"
"24 Jul 20","1.2789"
"23 Jul 20","1.2746"
"22 Jul 20","1.2732"
"21 Jul 20","1.2749"
"20 Jul 20","1.2647"
"17 Jul 20","1.2536"
"16 Jul 20","1.2597"
"15 Jul 20","1.2623"
"14 Jul 20","1.253"
"13 Jul 20","1.2619"
"10 Jul 20","1.2662"
"09 Jul 20","1.2615"
"08 Jul 20","1.2596"
"07 Jul 20","1.2575"
"06 Jul 20","1.2509"
"03 Jul 20","1.2468"
"02 Jul 20","1.2466"
"01 Jul 20","1.2458"
"30 Jun 20","1.2359"
"29 Jun 20","1.2268"
"26 Jun 20","1.232"
"25 Jun 20","1.2406"
"24 Jun 20","1.245"
"23 Jun 20","1.252"
"22 Jun 20","1.2448"
"19 Jun 20","1.2361"
"18 Jun 20","1.242"
"17 Jun 20","1.2545"
"16 Jun 20","1.2583"
"15 Jun 20","1.2559"
"12 Jun 20","1.2539"
"11 Jun 20","1.2645"
"10 Jun 20","1.2755"
"09 Jun 20","1.2722"
"08 Jun 20","1.2698"
"05 Jun 20","1.2725"
"04 Jun 20","1.2607"
"03 Jun 20","1.2597"
"02 Jun 20","1.2557"
"01 Jun 20","1.2481"
"29 May 20","1.2368"
"28 May 20","1.2323"
"27 May 20","1.2217"
"26 May 20","1.2363"
"22 May 20","1.219"
"21 May 20","1.2212"
"20 May 20","1.227"
"19 May 20","1.2251"
"18 May 20","1.2192"
"15 May 20","1.2126"
"14 May 20","1.2199"
"13 May 20","1.2226"
"12 May 20","1.233"
"11 May 20","1.2358"
"07 May 20","1.2287"
"06 May 20","1.2362"
"05 May 20","1.2454"
"04 May 20","1.2421"
"01 May 20","1.2547"
"30 Apr 20","1.2613"
"29 Apr 20","1.2436"
"28 Apr 20","1.2436"
"27 Apr 20","1.2409"
"24 Apr 20","1.2338"
"23 Apr 20","1.2386"
"22 Apr 20","1.2329"
"21 Apr 20","1.2273"
"20 Apr 20","1.2473"
"17 Apr 20","1.2504"
"16 Apr 20","1.2451"
"15 Apr 20","1.2498"
"14 Apr 20","1.2594"
"09 Apr 20","1.247"
"08 Apr 20","1.2379"
"07 Apr 20","1.2304"
"06 Apr 20","1.2255"
"03 Apr 20","1.2258"
"02 Apr 20","1.2377"
"01 Apr 20","1.2424"
"31 Mar 20","1.2403"
"30 Mar 20","1.2416"
"27 Mar 20","1.2359"
"26 Mar 20","1.2135"
"25 Mar 20","1.1761"
"24 Mar 20","1.1772"
"23 Mar 20","1.1492"
"20 Mar 20","1.1741"
"19 Mar 20","1.1658"
"18 Mar 20","1.1763"
"17 Mar 20","1.2016"
"16 Mar 20","1.2277"
"13 Mar 20","1.2406"
"12 Mar 20","1.254"
"11 Mar 20","1.2887"
"10 Mar 20","1.2932"
"09 Mar 20","1.311"
"06 Mar 20","1.3029"
"05 Mar 20","1.2922"
"04 Mar 20","1.2821"
"03 Mar 20","1.2819"
"02 Mar 20","1.2748"
"28 Feb 20","1.2776"
"27 Feb 20","1.2873"
"26 Feb 20","1.2917"
"25 Feb 20","1.3016"
"24 Feb 20","1.2924"
"21 Feb 20","1.2962"
"20 Feb 20","1.2881"
"19 Feb 20","1.2951"
"18 Feb 20","1.3037"
"17 Feb 20","1.3006"
"14 Feb 20","1.3016"
"13 Feb 20","1.3055"
"12 Feb 20","1.2975"
"11 Feb 20","1.2945"
"10 Feb 20","1.2923"
"07 Feb 20","1.2939"
"06 Feb 20","1.2929"
"05 Feb 20","1.2984"
"04 Feb 20","1.3025"
"03 Feb 20","1.3013"
"31 Jan 20","1.3179"
"30 Jan 20","1.31"
"29 Jan 20","1.3"
"28 Jan 20","1.2983"
"27 Jan 20","1.3056"
"24 Jan 20","1.3067"
"23 Jan 20","1.3118"
"22 Jan 20","1.3141"
"21 Jan 20","1.3058"
"20 Jan 20","1.2998"
"17 Jan 20","1.3029"
"16 Jan 20","1.3067"
"15 Jan 20","1.3023"
"14 Jan 20","1.301"
"13 Jan 20","1.2979"
"10 Jan 20","1.3062"
"09 Jan 20","1.3049"
"08 Jan 20","1.3099"
"07 Jan 20","1.3122"
"06 Jan 20","1.3159"
"03 Jan 20","1.3072"
"02 Jan 20","1.3189"
"31 Dec 19","1.321"
"30 Dec 19","1.3115"
"27 Dec 19","1.3094"
"24 Dec 19","1.2948"
"23 Dec 19","1.2926"
"20 Dec 19","1.3049"
"19 Dec 19","1.3029"
"18 Dec 19","1.3073"
"17 Dec 19","1.3139"
"16 Dec 19","1.3334"
"13 Dec 19","1.3343"
"12 Dec 19","1.3119"
"11 Dec 19","1.3177"
"10 Dec 19","1.3171"
"09 Dec 19","1.3155"
"06 Dec 19","1.3105"
"05 Dec 19","1.3155"
"04 Dec 19","1.3107"
"03 Dec 19","1.2993"
"02 Dec 19","1.2922"
"29 Nov 19","1.2936"
"28 Nov 19","1.2903"
"27 Nov 19","1.2875"
"26 Nov 19","1.2838"
"25 Nov 19","1.2907"
"22 Nov 19","1.2834"
"21 Nov 19","1.2925"
"20 Nov 19","1.2911"
"19 Nov 19","1.2932"
"18 Nov 19","1.2966"
"15 Nov 19","1.2896"
"14 Nov 19","1.2857"
"13 Nov 19","1.2839"
"12 Nov 19","1.2839"
"11 Nov 19","1.2872"
"08 Nov 19","1.2792"
"07 Nov 19","1.2822"
"06 Nov 19","1.2874"
"05 Nov 19","1.2866"
"04 Nov 19","1.2906"
"01 Nov 19","1.2947"
"31 Oct 19","1.2939"
"30 Oct 19","1.2871"
"29 Oct 19","1.2904"
"28 Oct 19","1.2858"
"25 Oct 19","1.2832"
"24 Oct 19","1.2848"
"23 Oct 19","1.2882"
"22 Oct 19","1.2908"
"21 Oct 19","1.2983"
"18 Oct 19","1.2899"
"17 Oct 19","1.2842"
"16 Oct 19","1.2804"
"15 Oct 19","1.2777"
"14 Oct 19","1.2586"
"11 Oct 19","1.2683"
"10 Oct 19","1.2282"
"09 Oct 19","1.2218"
"08 Oct 19","1.2214"
"07 Oct 19","1.2321"
"04 Oct 19","1.2294"
"03 Oct 19","1.2407"
"02 Oct 19","1.2304"
"01 Oct 19","1.2223"
"30 Sep 19","1.232"
"27 Sep 19","1.2309"
"26 Sep 19","1.2334"
"25 Sep 19","1.2379"
"24 Sep 19","1.2479"
"23 Sep 19","1.243"
"20 Sep 19","1.2501"
"19 Sep 19","1.2488"
"18 Sep 19","1.2484"
"17 Sep 19","1.2482"
"16 Sep 19","1.242"
"13 Sep 19","1.246"
"12 Sep 19","1.2332"
"11 Sep 19","1.2343"
"10 Sep 19","1.2354"
"09 Sep 19","1.2344"
"06 Sep 19","1.2313"
"05 Sep 19","1.2325"
"04 Sep 19","1.2192"
"03 Sep 19","1.2092"
"02 Sep 19","1.2062"
"30 Aug 19","1.2183"
"29 Aug 19","1.2205"
"28 Aug 19","1.2221"
"27 Aug 19","1.2278"
"23 Aug 19","1.2276"
"22 Aug 19","1.2253"
"21 Aug 19","1.2131"
"20 Aug 19","1.2132"
"19 Aug 19","1.2135"
"16 Aug 19","1.2145"
"15 Aug 19","1.2114"
"14 Aug 19","1.2069"
"13 Aug 19","1.2072"
"12 Aug 19","1.2082"
"09 Aug 19","1.208"
"08 Aug 19","1.2134"
"07 Aug 19","1.2153"
"06 Aug 19","1.2167"
"05 Aug 19","1.2142"
"02 Aug 19","1.2127"
"01 Aug 19","1.2152"
"31 Jul 19","1.2246"
"30 Jul 19","1.2152"
"29 Jul 19","1.2232"
"26 Jul 19","1.2387"
"25 Jul 19","1.2495"
"24 Jul 19","1.2499"
"23 Jul 19","1.2438"
"22 Jul 19","1.2498"
"19 Jul 19","1.2502"
"18 Jul 19","1.2483"
"17 Jul 19","1.2428"
"16 Jul 19","1.2419"
"15 Jul 19","1.2517"
"12 Jul 19","1.256"
"11 Jul 19","1.2553"
"10 Jul 19","1.2496"
"09 Jul 19","1.2466"
"08 Jul 19","1.2515"
"05 Jul 19","1.2506"
"04 Jul 19","1.2577"
"03 Jul 19","1.2564"
"02 Jul 19","1.26"
"01 Jul 19","1.2652"
"28 Jun 19","1.2728"
"27 Jun 19","1.2676"
"26 Jun 19","1.2676"
"25 Jun 19","1.272"
"24 Jun 19","1.2722"
"21 Jun 19","1.2696"
"20 Jun 19","1.2701"
"19 Jun 19","1.263"
"18 Jun 19","1.2539"
"17 Jun 19","1.2556"
"14 Jun 19","1.2606"
"13 Jun 19","1.2684"
"12 Jun 19","1.2725"
"11 Jun 19","1.2719"
"10 Jun 19","1.269"
"07 Jun 19","1.2757"
"06 Jun 19","1.2712"
"05 Jun 19","1.2732"
"04 Jun 19","1.2677"
"03 Jun 19","1.2631"
"31 May 19","1.2602"
"30 May 19","1.2589"
"29 May 19","1.2631"
"28 May 19","1.2675"
"24 May 19","1.2691"
"23 May 19","1.2667"
"22 May 19","1.2657"
"21 May 19","1.2786"
"20 May 19","1.2734"
"17 May 19","1.2733"
"16 May 19","1.2792"
"15 May 19","1.2868"
"14 May 19","1.2919"
"13 May 19","1.2984"
"10 May 19","1.3033"
"09 May 19","1.302"
"08 May 19","1.3004"
"07 May 19","1.3047"
"03 May 19","1.3116"
"02 May 19","1.3033"
"01 May 19","1.3083"
"30 Apr 19","1.3036"
"29 Apr 19","1.2922"
"26 Apr 19","1.2934"
"25 Apr 19","1.2907"
"24 Apr 19","1.2959"
"23 Apr 19","1.2937"
"18 Apr 19","1.3009"
"17 Apr 19","1.3046"
"16 Apr 19","1.3054"
"15 Apr 19","1.3116"
"12 Apr 19","1.3103"
"11 Apr 19","1.3087"
"10 Apr 19","1.309"
"09 Apr 19","1.3045"
"08 Apr 19","1.3048"
"05 Apr 19","1.3012"
"04 Apr 19","1.3083"
"03 Apr 19","1.3156"
"02 Apr 19","1.3031"
"01 Apr 19","1.3141"
"29 Mar 19","1.303"
"28 Mar 19","1.3088"
"27 Mar 19","1.3192"
"26 Mar 19","1.3215"
"25 Mar 19","1.3197"
"22 Mar 19","1.322"
"21 Mar 19","1.3073"
"20 Mar 19","1.3192"
"19 Mar 19","1.3264"
"18 Mar 19","1.322"
"15 Mar 19","1.3279"
"14 Mar 19","1.3282"
"13 Mar 19","1.3228"
"12 Mar 19","1.3097"
"11 Mar 19","1.3095"
"08 Mar 19","1.3005"
"07 Mar 19","1.3115"
"06 Mar 19","1.315"
"05 Mar 19","1.3114"
"04 Mar 19","1.3173"
"01 Mar 19","1.3243"
"28 Feb 19","1.33"
"27 Feb 19","1.3336"
"26 Feb 19","1.324"
"25 Feb 19","1.3067"
"22 Feb 19","1.3058"
"21 Feb 19","1.307"
"20 Feb 19","1.3061"
"19 Feb 19","1.3031"
"18 Feb 19","1.2928"
"15 Feb 19","1.2847"
"14 Feb 19","1.2781"
"13 Feb 19","1.2878"
"12 Feb 19","1.2883"
"11 Feb 19","1.2866"
"08 Feb 19","1.2942"
"07 Feb 19","1.2975"
"06 Feb 19","1.2963"
"05 Feb 19","1.294"
"04 Feb 19","1.3085"
"01 Feb 19","1.3093"
"31 Jan 19","1.3152"
"30 Jan 19","1.3072"
"29 Jan 19","1.3149"
"28 Jan 19","1.3156"
"25 Jan 19","1.3167"
"24 Jan 19","1.3042"
"23 Jan 19","1.3067"
"22 Jan 19","1.2957"
"21 Jan 19","1.2895"
"18 Jan 19","1.2906"
"17 Jan 19","1.2909"
"16 Jan 19","1.2861"
"15 Jan 19","1.281"
"14 Jan 19","1.2912"
"11 Jan 19","1.2818"
"10 Jan 19","1.2779"
"09 Jan 19","1.2743"
"08 Jan 19","1.2731"
"07 Jan 19","1.2772"
"04 Jan 19","1.2724"
"03 Jan 19","1.2601"
"02 Jan 19","1.2608"
"31 Dec 18","1.2769"
"28 Dec 18","1.2688"
"27 Dec 18","1.2637"
"24 Dec 18","1.2649"
"21 Dec 18","1.2676"
"20 Dec 18","1.2636"
"19 Dec 18","1.2643"
"18 Dec 18","1.2632"
"17 Dec 18","1.261"
"14 Dec 18","1.2561"
"13 Dec 18","1.2616"
"12 Dec 18","1.2661"
"11 Dec 18","1.2527"
"10 Dec 18","1.2536"
"07 Dec 18","1.2759"
"06 Dec 18","1.2778"
"05 Dec 18","1.2738"
"04 Dec 18","1.2727"
"03 Dec 18","1.2737"
"30 Nov 18","1.276"
"29 Nov 18","1.2778"
"28 Nov 18","1.2753"
"27 Nov 18","1.2739"
"26 Nov 18","1.2826"
"23 Nov 18","1.2802"
"22 Nov 18","1.2869"
"21 Nov 18","1.2784"
"20 Nov 18","1.2823"
"19 Nov 18","1.2864"
"16 Nov 18","1.284"
"15 Nov 18","1.2782"
"14 Nov 18","1.3004"
"13 Nov 18","1.2997"
"12 Nov 18","1.2866"
"09 Nov 18","1.3029"
"08 Nov 18","1.3128"
"07 Nov 18","1.3135"
"06 Nov 18","1.308"
"05 Nov 18","1.3018"
"02 Nov 18","1.2965"
"01 Nov 18","1.2974"
"31 Oct 18","1.2779"
"30 Oct 18","1.2731"
"29 Oct 18","1.2806"
"26 Oct 18","1.2821"
"25 Oct 18","1.2815"
"24 Oct 18","1.291"
"23 Oct 18","1.2975"
"22 Oct 18","1.2974"
"19 Oct 18","1.3046"
"18 Oct 18","1.3071"
"17 Oct 18","1.3135"
"16 Oct 18","1.321"
"15 Oct 18","1.3144"
"12 Oct 18","1.3158"
"11 Oct 18","1.321"
"10 Oct 18","1.32"
"09 Oct 18","1.3089"
"08 Oct 18","1.3071"
"05 Oct 18","1.3071"
"04 Oct 18","1.3027"
"03 Oct 18","1.3005"
"02 Oct 18","1.2978"
"01 Oct 18","1.3043"
"28 Sep 18","1.3041"
"27 Sep 18","1.3116"
"26 Sep 18","1.3185"
"25 Sep 18","1.3163"
"24 Sep 18","1.3139"
"21 Sep 18","1.3099"
"20 Sep 18","1.3256"
"19 Sep 18","1.3152"
"18 Sep 18","1.3155"
"17 Sep 18","1.3151"
"14 Sep 18","1.3074"
"13 Sep 18","1.3093"
"12 Sep 18","1.3021"
"11 Sep 18","1.2999"
"10 Sep 18","1.3019"
"07 Sep 18","1.2951"
"06 Sep 18","1.2947"
"05 Sep 18","1.2958"
"04 Sep 18","1.2832"
"03 Sep 18","1.2885"
"31 Aug 18","1.2994"
"30 Aug 18","1.3004"
"29 Aug 18","1.2999"
"28 Aug 18","1.2884"
"24 Aug 18","1.2858"
"23 Aug 18","1.2835"
"22 Aug 18","1.291"
"21 Aug 18","1.2868"
"20 Aug 18","1.2759"
"17 Aug 18","1.2741"
"16 Aug 18","1.2724"
"15 Aug 18","1.2669"
"14 Aug 18","1.2753"
"13 Aug 18","1.2777"
"10 Aug 18","1.2776"
"09 Aug 18","1.2869"
"08 Aug 18","1.2882"
"07 Aug 18","1.2954"
"06 Aug 18","1.294"
"03 Aug 18","1.3019"
"02 Aug 18","1.3032"
"01 Aug 18","1.3122"
"31 Jul 18","1.3117"
"30 Jul 18","1.3145"
"27 Jul 18","1.3128"
"26 Jul 18","1.315"
"25 Jul 18","1.3149"
"24 Jul 18","1.3156"
"23 Jul 18","1.3113"
"20 Jul 18","1.3102"
"19 Jul 18","1.3004"
"18 Jul 18","1.305"
"17 Jul 18","1.3161"
"16 Jul 18","1.3231"
"13 Jul 18","1.3201"
"12 Jul 18","1.3223"
"11 Jul 18","1.3248"
"10 Jul 18","1.3265"
"09 Jul 18","1.326"
"06 Jul 18","1.3277"
"05 Jul 18","1.3223"
"04 Jul 18","1.3208"
"03 Jul 18","1.3176"
"02 Jul 18","1.3124"
"29 Jun 18","1.3203"
"28 Jun 18","1.3098"
"27 Jun 18","1.3147"
"26 Jun 18","1.3233"
"25 Jun 18","1.3269"
"22 Jun 18","1.3272"
"21 Jun 18","1.3257"
"20 Jun 18","1.3176"
"19 Jun 18","1.3173"
"18 Jun 18","1.3241"
"15 Jun 18","1.3286"
"14 Jun 18","1.3333"
"13 Jun 18","1.3367"
"12 Jun 18","1.3352"
"11 Jun 18","1.3394"
"08 Jun 18","1.3395"
"07 Jun 18","1.342"
"06 Jun 18","1.3428"
"05 Jun 18","1.3341"
"04 Jun 18","1.3332"
"01 Jun 18","1.3331"
"31 May 18","1.3308"
"30 May 18","1.3275"
"29 May 18","1.3269"
"25 May 18","1.3316"
"24 May 18","1.3374"
"23 May 18","1.3341"
"22 May 18","1.3421"
"21 May 18","1.341"
"18 May 18","1.3475"
"17 May 18","1.3504"
"16 May 18","1.3483"
"15 May 18","1.3495"
"14 May 18","1.3593"
"11 May 18","1.3553"
"10 May 18","1.3467"
"09 May 18","1.3577"
"08 May 18","1.3518"
"04 May 18","1.3517"
"03 May 18","1.3546"
"02 May 18","1.3599"
"01 May 18","1.3596"
"30 Apr 18","1.3776"
"27 Apr 18","1.3795"
"26 Apr 18","1.3936"
"25 Apr 18","1.3935"
"24 Apr 18","1.3964"
"23 Apr 18","1.395"
"20 Apr 18","1.4025"
"19 Apr 18","1.4221"
"18 Apr 18","1.4235"
"17 Apr 18","1.431"
"16 Apr 18","1.4328"
"13 Apr 18","1.4247"
"12 Apr 18","1.4232"
"11 Apr 18","1.4207"
"10 Apr 18","1.4173"
"09 Apr 18","1.4129"
"06 Apr 18","1.4083"
"05 Apr 18","1.3999"
"04 Apr 18","1.4085"
"03 Apr 18","1.4038"
"29 Mar 18","1.4033"
"28 Mar 18","1.4098"
"27 Mar 18","1.4144"
"26 Mar 18","1.4223"
"23 Mar 18","1.415"
"22 Mar 18","1.4099"
"21 Mar 18","1.4062"
"20 Mar 18","1.4011"
"19 Mar 18","1.4029"
"16 Mar 18","1.3918"
"15 Mar 18","1.3947"
"14 Mar 18","1.3945"
"13 Mar 18","1.3987"
"12 Mar 18","1.3898"
"09 Mar 18","1.3868"
"08 Mar 18","1.383"
"07 Mar 18","1.3896"
"06 Mar 18","1.3883"
"05 Mar 18","1.3848"
"02 Mar 18","1.3769"
"01 Mar 18","1.3725"
"28 Feb 18","1.378"
"27 Feb 18","1.3882"
"26 Feb 18","1.3941"
"23 Feb 18","1.3971"
"22 Feb 18","1.3937"
"21 Feb 18","1.3979"
"20 Feb 18","1.4005"
"19 Feb 18","1.3994"
"16 Feb 18","1.404"
"15 Feb 18","1.4056"
"14 Feb 18","1.3961"
"13 Feb 18","1.3881"
"12 Feb 18","1.3809"
"09 Feb 18","1.3806"
"08 Feb 18","1.4004"
"07 Feb 18","1.3883"
"06 Feb 18","1.3908"
"05 Feb 18","1.4016"
"02 Feb 18","1.4125"
"01 Feb 18","1.4237"
"31 Jan 18","1.4221"
"30 Jan 18","1.4112"
"29 Jan 18","1.4063"
"26 Jan 18","1.4181"
"25 Jan 18","1.4302"
"24 Jan 18","1.4222"
"23 Jan 18","1.402"
"22 Jan 18","1.3969"
"19 Jan 18","1.3845"
"18 Jan 18","1.3882"
"17 Jan 18","1.3834"
"16 Jan 18","1.3775"
"15 Jan 18","1.3802"
"12 Jan 18","1.3689"
"11 Jan 18","1.3535"
"10 Jan 18","1.3533"
"09 Jan 18","1.3525"
"08 Jan 18","1.3581"
"05 Jan 18","1.3563"
"04 Jan 18","1.3552"
"03 Jan 18","1.3514"
"02 Jan 18","1.3579"
"29 Dec 17","1.351"
"28 Dec 17","1.3436"
"27 Dec 17","1.3399"
"22 Dec 17","1.3387"
"21 Dec 17","1.3354"
"20 Dec 17","1.3406"
"19 Dec 17","1.3349"
"18 Dec 17","1.3398"
"15 Dec 17","1.3317"
"14 Dec 17","1.3424"
"13 Dec 17","1.3363"
"12 Dec 17","1.3323"
"11 Dec 17","1.3362"
"08 Dec 17","1.3376"
"07 Dec 17","1.3417"
"06 Dec 17","1.3382"
"05 Dec 17","1.3457"
"04 Dec 17","1.3479"
"01 Dec 17","1.349"
"30 Nov 17","1.353"
"29 Nov 17","1.3412"
"28 Nov 17","1.3233"
"27 Nov 17","1.334"
"24 Nov 17","1.3351"
"23 Nov 17","1.3297"
"22 Nov 17","1.3283"
"21 Nov 17","1.323"
"20 Nov 17","1.3262"
"17 Nov 17","1.3207"
"16 Nov 17","1.3196"
"15 Nov 17","1.3163"
"14 Nov 17","1.3118"
"13 Nov 17","1.3112"
"10 Nov 17","1.322"
"09 Nov 17","1.3118"
"08 Nov 17","1.31"
"07 Nov 17","1.3141"
"06 Nov 17","1.3121"
"03 Nov 17","1.3067"
"02 Nov 17","1.3068"
"01 Nov 17","1.3257"
"31 Oct 17","1.328"
"30 Oct 17","1.3195"
"27 Oct 17","1.3112"
"26 Oct 17","1.3171"
"25 Oct 17","1.3253"
"24 Oct 17","1.3119"
"23 Oct 17","1.3185"
"20 Oct 17","1.319"
"19 Oct 17","1.3203"
"18 Oct 17","1.3171"
"17 Oct 17","1.3169"
"16 Oct 17","1.3282"
"13 Oct 17","1.3305"
"12 Oct 17","1.3165"
"11 Oct 17","1.3189"
"10 Oct 17","1.3219"
"09 Oct 17","1.3132"
"06 Oct 17","1.3058"
"05 Oct 17","1.3139"
"04 Oct 17","1.3277"
"03 Oct 17","1.3245"
"02 Oct 17","1.3276"
"29 Sep 17","1.3416"
"28 Sep 17","1.3444"
"27 Sep 17","1.3386"
"26 Sep 17","1.3417"
"25 Sep 17","1.3484"
"22 Sep 17","1.3527"
"21 Sep 17","1.3543"
"20 Sep 17","1.3567"
"19 Sep 17","1.3523"
"18 Sep 17","1.3557"
"15 Sep 17","1.3596"
"14 Sep 17","1.335"
"13 Sep 17","1.323"
"12 Sep 17","1.3263"
"11 Sep 17","1.3183"
"08 Sep 17","1.3184"
"07 Sep 17","1.3112"
"06 Sep 17","1.3071"
"05 Sep 17","1.3027"
"04 Sep 17","1.2957"
"01 Sep 17","1.2973"
"31 Aug 17","1.2886"
"30 Aug 17","1.292"
"29 Aug 17","1.2952"
"25 Aug 17","1.2877"
"24 Aug 17","1.2798"
"23 Aug 17","1.2796"
"22 Aug 17","1.2835"
"21 Aug 17","1.2904"
"18 Aug 17","1.2857"
"17 Aug 17","1.2891"
"16 Aug 17","1.2869"
"15 Aug 17","1.2854"
"14 Aug 17","1.2987"
"11 Aug 17","1.2977"
"10 Aug 17","1.299"
"09 Aug 17","1.2993"
"08 Aug 17","1.296"
"07 Aug 17","1.3023"
"04 Aug 17","1.3038"
"03 Aug 17","1.3144"
"02 Aug 17","1.3223"
"01 Aug 17","1.3229"
"31 Jul 17","1.3183"
"28 Jul 17","1.3119"
"27 Jul 17","1.3087"
"26 Jul 17","1.3056"
"25 Jul 17","1.305"
"24 Jul 17","1.3047"
"21 Jul 17","1.299"
"20 Jul 17","1.2989"
"19 Jul 17","1.3043"
"18 Jul 17","1.3018"
"17 Jul 17","1.3066"
"14 Jul 17","1.3086"
"13 Jul 17","1.2933"
"12 Jul 17","1.289"
"11 Jul 17","1.2844"
"10 Jul 17","1.2862"
"07 Jul 17","1.288"
"06 Jul 17","1.2947"
