Region,Region Short Name,Area,Region Order,Population
East Midlands,East Midlands,Central,2,"4,804,149"
East of England,East of England,Central,3,"5,847,000"
London,London,South,1,"8,961,989"
North East England,North East,North,4,"2,657,909"
North West England,North West,North,9,"7,052,000"
South East England,South East,South,5,"8,724,700"
South West England,South West,South,8,"5,339,600"
West Midlands,West Midlands,Central,6,"5,713,000"
Yorkshire and the Humber,Yorkshire,North,7,"5,336,192"
