Date,Number of Bicycle Hires
20/05/2014,33626
21/05/2014,34437
22/05/2014,30819
23/05/2014,30556
24/05/2014,18723
25/05/2014,33401
26/05/2014,12049
27/05/2014,14446
28/05/2014,21978
29/05/2014,29229
30/05/2014,31331
31/05/2014,35040
01/06/2014,36655
02/06/2014,33481
03/06/2014,29332
04/06/2014,25905
05/06/2014,34617
06/06/2014,37440
07/06/2014,29919
08/06/2014,44415
09/06/2014,34305
10/06/2014,40128
11/06/2014,39582
12/06/2014,39928
13/06/2014,40036
14/06/2014,32758
15/06/2014,28944
16/06/2014,31592
17/06/2014,37658
18/06/2014,35431
19/06/2014,36113
20/06/2014,36924
21/06/2014,42463
22/06/2014,41596
23/06/2014,35206
24/06/2014,38066
25/06/2014,39623
26/06/2014,35438
27/06/2014,35912
28/06/2014,20199
29/06/2014,26714
30/06/2014,32193
01/07/2014,39495
02/07/2014,40878
03/07/2014,43116
04/07/2014,38316
05/07/2014,27332
06/07/2014,31117
07/07/2014,36191
08/07/2014,35107
09/07/2014,38844
10/07/2014,32108
11/07/2014,27618
12/07/2014,38331
13/07/2014,33227
14/07/2014,38450
15/07/2014,40888
16/07/2014,42341
17/07/2014,42404
18/07/2014,40543
19/07/2014,37061
20/07/2014,34379
21/07/2014,38499
22/07/2014,42928
23/07/2014,42486
24/07/2014,42412
25/07/2014,31881
26/07/2014,43788
27/07/2014,39917
28/07/2014,36203
29/07/2014,42308
30/07/2014,43044
31/07/2014,41970
01/08/2014,40009
02/08/2014,38046
03/08/2014,41944
04/08/2014,39856
05/08/2014,40716
06/08/2014,38665
07/08/2014,42491
08/08/2014,34234
09/08/2014,47454
10/08/2014,23980
11/08/2014,31725
12/08/2014,34827
13/08/2014,37856
14/08/2014,27185
15/08/2014,32510
16/08/2014,47245
17/08/2014,39952
18/08/2014,30784
19/08/2014,35332
20/08/2014,36817
21/08/2014,33236
22/08/2014,34047
23/08/2014,29999
24/08/2014,30962
25/08/2014,6175
26/08/2014,18448
27/08/2014,32286
28/08/2014,31842
29/08/2014,32439
30/08/2014,30832
31/08/2014,33312
01/09/2014,27455
02/09/2014,36836
03/09/2014,36523
04/09/2014,35448
05/09/2014,35013
06/09/2014,33434
07/09/2014,34248
08/09/2014,36983
09/09/2014,37674
10/09/2014,37091
11/09/2014,35303
12/09/2014,37144
13/09/2014,34174
14/09/2014,31770
15/09/2014,36629
16/09/2014,37535
17/09/2014,38583
18/09/2014,38442
19/09/2014,36841
20/09/2014,31031
21/09/2014,33334
22/09/2014,35178
23/09/2014,36460
24/09/2014,32680
25/09/2014,35367
26/09/2014,35474
27/09/2014,35087
28/09/2014,37873
29/09/2014,31701
30/09/2014,37373
01/10/2014,32733
02/10/2014,36992
03/10/2014,37909
04/10/2014,18967
05/10/2014,33082
06/10/2014,24330
07/10/2014,31465
08/10/2014,23573
09/10/2014,26642
10/10/2014,32510
11/10/2014,30498
12/10/2014,23063
13/10/2014,13299
14/10/2014,28518
15/10/2014,25424
16/10/2014,31541
17/10/2014,32770
18/10/2014,28951
19/10/2014,30480
20/10/2014,31642
21/10/2014,24681
22/10/2014,30642
23/10/2014,31277
24/10/2014,29144
25/10/2014,30053
26/10/2014,26514
27/10/2014,33716
28/10/2014,35320
29/10/2014,23281
30/10/2014,32503
31/10/2014,36478
01/11/2014,31912
02/11/2014,15887
03/11/2014,22347
04/11/2014,23525
05/11/2014,27970
06/11/2014,28274
07/11/2014,26779
08/11/2014,17473
09/11/2014,24099
10/11/2014,28303
11/11/2014,28993
12/11/2014,24878
13/11/2014,27839
14/11/2014,21442
15/11/2014,22842
16/11/2014,17849
17/11/2014,21398
18/11/2014,26094
19/11/2014,28807
20/11/2014,29068
21/11/2014,24070
22/11/2014,18347
23/11/2014,6030
24/11/2014,25884
25/11/2014,24359
26/11/2014,23096
27/11/2014,26765
28/11/2014,26782
29/11/2014,24337
30/11/2014,19998
01/12/2014,24983
02/12/2014,21614
03/12/2014,25376
04/12/2014,19993
05/12/2014,22939
06/12/2014,17431
07/12/2014,12789
08/12/2014,23519
09/12/2014,23925
10/12/2014,25028
11/12/2014,23028
12/12/2014,20436
13/12/2014,18255
14/12/2014,14441
15/12/2014,22940
16/12/2014,23087
17/12/2014,22120
18/12/2014,23196
19/12/2014,21966
20/12/2014,14690
21/12/2014,11802
22/12/2014,18552
23/12/2014,16551
24/12/2014,10385
25/12/2014,39145
26/12/2014,7678
27/12/2014,6349
28/12/2014,9293
29/12/2014,12411
30/12/2014,13120
31/12/2014,12811
01/01/2015,9615
02/01/2015,15389
03/01/2015,5779
04/01/2015,9367
05/01/2015,20566
06/01/2015,20765
07/01/2015,22504
08/01/2015,15769
09/01/2015,22285
10/01/2015,14877
11/01/2015,14738
12/01/2015,17354
13/01/2015,24966
14/01/2015,23767
15/01/2015,23123
16/01/2015,22894
17/01/2015,15443
18/01/2015,13373
19/01/2015,23193
20/01/2015,23384
21/01/2015,22987
22/01/2015,23432
23/01/2015,22093
24/01/2015,17748
25/01/2015,15267
26/01/2015,22867
27/01/2015,25222
28/01/2015,21685
29/01/2015,21421
30/01/2015,21405
31/01/2015,10385
01/02/2015,11420
02/02/2015,21770
03/02/2015,20028
04/02/2015,22056
05/02/2015,21396
06/02/2015,21146
07/02/2015,13324
08/02/2015,15983
09/02/2015,24078
10/02/2015,24399
11/02/2015,23870
12/02/2015,23429
13/02/2015,17836
14/02/2015,14644
15/02/2015,17253
16/02/2015,16548
17/02/2015,25288
18/02/2015,25340
19/02/2015,17081
20/02/2015,21014
21/02/2015,16490
22/02/2015,9214
23/02/2015,21857
24/02/2015,23758
25/02/2015,21708
26/02/2015,20131
27/02/2015,24540
28/02/2015,13677
01/03/2015,15817
02/03/2015,22379
03/03/2015,24001
04/03/2015,24544
05/03/2015,24959
06/03/2015,25527
07/03/2015,27754
08/03/2015,20207
09/03/2015,24230
10/03/2015,27878
11/03/2015,27610
12/03/2015,28324
13/03/2015,25840
14/03/2015,18270
15/03/2015,10744
16/03/2015,19950
17/03/2015,25956
18/03/2015,26618
19/03/2015,24241
20/03/2015,25424
21/03/2015,16304
22/03/2015,18782
23/03/2015,25741
24/03/2015,24161
25/03/2015,25779
26/03/2015,20415
27/03/2015,26567
28/03/2015,19242
29/03/2015,8987
30/03/2015,22235
31/03/2015,22898
01/04/2015,23677
02/04/2015,22818
03/04/2015,11503
04/04/2015,13828
05/04/2015,19685
06/04/2015,25724
07/04/2015,29525
08/04/2015,30882
09/04/2015,31671
10/04/2015,32299
11/04/2015,25415
12/04/2015,29457
13/04/2015,28203
14/04/2015,34830
15/04/2015,37709
16/04/2015,30656
17/04/2015,30001
18/04/2015,29846
19/04/2015,19906
20/04/2015,32163
21/04/2015,35103
22/04/2015,32559
23/04/2015,32935
24/04/2015,32332
25/04/2015,25441
26/04/2015,19565
27/04/2015,30735
28/04/2015,32024
29/04/2015,26197
30/04/2015,31854
01/05/2015,29822
02/05/2015,22474
03/05/2015,21375
04/05/2015,26933
05/05/2015,26633
06/05/2015,24556
07/05/2015,31283
08/05/2015,27029
09/05/2015,27995
10/05/2015,32399
11/05/2015,33872
12/05/2015,33930
13/05/2015,36877
14/05/2015,15657
15/05/2015,32522
16/05/2015,32720
17/05/2015,31506
18/05/2015,24385
19/05/2015,28408
20/05/2015,30650
21/05/2015,34922
22/05/2015,33624
23/05/2015,23989
24/05/2015,30267
25/05/2015,29607
26/05/2015,34880
27/05/2015,36496
28/05/2015,34496
29/05/2015,26155
30/05/2015,29432
31/05/2015,15075
01/06/2015,27893
02/06/2015,28070
03/06/2015,35630
04/06/2015,39687
05/06/2015,35048
06/06/2015,33088
07/06/2015,35757
08/06/2015,32745
09/06/2015,33447
10/06/2015,35862
11/06/2015,38969
12/06/2015,35367
13/06/2015,30566
14/06/2015,25402
15/06/2015,34723
16/06/2015,38166
17/06/2015,38799
18/06/2015,38875
19/06/2015,36220
20/06/2015,26546
21/06/2015,30621
22/06/2015,29711
23/06/2015,37663
24/06/2015,39183
25/06/2015,38856
26/06/2015,37281
27/06/2015,36885
28/06/2015,25846
29/06/2015,39280
30/06/2015,43582
01/07/2015,42891
02/07/2015,38467
03/07/2015,39940
04/07/2015,38640
05/07/2015,29963
06/07/2015,38895
07/07/2015,38120
08/07/2015,41921
09/07/2015,73094
10/07/2015,43266
11/07/2015,42676
12/07/2015,23498
13/07/2015,27646
14/07/2015,35600
15/07/2015,34878
16/07/2015,39609
17/07/2015,38845
18/07/2015,38906
19/07/2015,36989
20/07/2015,32140
21/07/2015,41001
22/07/2015,38133
23/07/2015,39368
24/07/2015,16135
25/07/2015,32982
26/07/2015,12497
27/07/2015,32103
28/07/2015,36310
29/07/2015,37021
30/07/2015,36350
31/07/2015,36932
01/08/2015,43492
02/08/2015,43679
03/08/2015,35609
04/08/2015,37864
05/08/2015,39010
06/08/2015,63963
07/08/2015,39788
08/08/2015,39362
09/08/2015,40758
10/08/2015,35625
11/08/2015,34567
12/08/2015,36838
13/08/2015,26185
14/08/2015,25638
15/08/2015,34137
16/08/2015,30948
17/08/2015,36003
18/08/2015,34776
19/08/2015,31903
20/08/2015,32857
21/08/2015,36329
22/08/2015,44724
23/08/2015,27202
24/08/2015,17520
25/08/2015,28401
26/08/2015,23969
27/08/2015,30856
28/08/2015,33201
29/08/2015,22828
30/08/2015,25191
31/08/2015,9709
01/09/2015,25739
02/09/2015,30313
03/09/2015,31163
04/09/2015,29913
05/09/2015,22475
06/09/2015,29539
07/09/2015,31917
08/09/2015,32968
09/09/2015,33332
10/09/2015,35956
11/09/2015,34690
12/09/2015,29143
13/09/2015,26342
14/09/2015,25923
15/09/2015,28311
16/09/2015,18764
17/09/2015,32336
18/09/2015,30124
19/09/2015,33855
20/09/2015,31380
21/09/2015,23831
22/09/2015,20567
23/09/2015,34193
24/09/2015,29537
25/09/2015,35064
26/09/2015,32955
27/09/2015,30024
28/09/2015,33341
29/09/2015,34591
30/09/2015,35143
01/10/2015,34845
02/10/2015,35782
03/10/2015,29224
04/10/2015,30096
05/10/2015,20833
06/10/2015,25972
07/10/2015,28817
08/10/2015,33877
09/10/2015,34392
10/10/2015,29683
11/10/2015,27984
12/10/2015,31469
13/10/2015,31753
14/10/2015,30815
15/10/2015,31062
16/10/2015,30295
17/10/2015,24555
18/10/2015,23282
19/10/2015,30127
20/10/2015,32949
21/10/2015,19085
22/10/2015,30539
23/10/2015,30515
24/10/2015,17058
25/10/2015,23591
26/10/2015,30606
27/10/2015,32635
28/10/2015,24040
29/10/2015,27534
30/10/2015,24195
31/10/2015,27765
01/11/2015,23085
02/11/2015,28256
03/11/2015,30911
04/11/2015,23675
05/11/2015,24685
06/11/2015,25677
07/11/2015,15031
08/11/2015,18943
09/11/2015,28623
10/11/2015,29429
11/11/2015,30049
12/11/2015,29108
13/11/2015,25410
14/11/2015,8983
15/11/2015,17711
16/11/2015,26676
17/11/2015,23773
18/11/2015,26636
19/11/2015,23852
20/11/2015,25993
21/11/2015,12847
22/11/2015,13205
23/11/2015,24070
24/11/2015,21348
25/11/2015,26187
26/11/2015,26826
27/11/2015,23667
28/11/2015,16523
29/11/2015,11453
30/11/2015,21886
01/12/2015,26714
02/12/2015,27975
03/12/2015,26038
04/12/2015,26130
05/12/2015,16667
06/12/2015,15627
07/12/2015,25897
08/12/2015,23565
09/12/2015,27739
10/12/2015,23251
11/12/2015,23439
12/12/2015,16815
13/12/2015,12364
14/12/2015,23972
15/12/2015,20310
16/12/2015,25740
17/12/2015,25977
18/12/2015,25886
19/12/2015,18883
20/12/2015,13118
21/12/2015,18239
22/12/2015,17571
23/12/2015,18568
24/12/2015,8968
25/12/2015,22871
26/12/2015,10362
27/12/2015,9507
28/12/2015,13851
29/12/2015,15717
30/12/2015,12379
31/12/2015,14024
01/01/2016,9922
02/01/2016,7246
03/01/2016,4894
04/01/2016,20644
05/01/2016,22934
06/01/2016,23199
07/01/2016,18225
08/01/2016,20948
09/01/2016,11674
10/01/2016,14447
11/01/2016,21188
12/01/2016,22924
13/01/2016,24726
14/01/2016,22266
15/01/2016,22594
16/01/2016,16258
17/01/2016,11826
18/01/2016,22905
19/01/2016,23919
20/01/2016,23919
21/01/2016,23490
22/01/2016,18431
23/01/2016,17424
24/01/2016,16474
25/01/2016,25886
26/01/2016,20329
27/01/2016,21816
28/01/2016,25490
29/01/2016,22701
30/01/2016,16528
31/01/2016,11098
01/02/2016,23742
02/02/2016,24643
03/02/2016,24601
04/02/2016,25344
05/02/2016,22806
06/02/2016,13255
07/02/2016,14219
08/02/2016,19924
09/02/2016,23460
10/02/2016,23769
11/02/2016,25393
12/02/2016,22995
13/02/2016,9948
14/02/2016,13782
15/02/2016,21918
16/02/2016,24537
17/02/2016,19168
18/02/2016,23696
19/02/2016,22300
20/02/2016,11224
21/02/2016,14745
22/02/2016,20538
23/02/2016,25832
24/02/2016,25634
25/02/2016,24296
26/02/2016,23714
27/02/2016,14871
28/02/2016,13549
29/02/2016,23738
01/03/2016,20876
02/03/2016,20775
03/03/2016,24559
04/03/2016,24179
05/03/2016,12340
06/03/2016,12591
07/03/2016,22785
08/03/2016,23308
09/03/2016,19280
10/03/2016,23648
11/03/2016,21026
12/03/2016,21834
13/03/2016,21938
14/03/2016,25597
15/03/2016,25379
16/03/2016,25489
17/03/2016,27198
18/03/2016,23210
19/03/2016,18060
20/03/2016,17163
21/03/2016,25990
22/03/2016,29312
23/03/2016,27052
24/03/2016,19477
25/03/2016,25612
26/03/2016,11211
27/03/2016,10149
28/03/2016,10316
29/03/2016,18945
30/03/2016,26700
31/03/2016,28486
01/04/2016,27310
02/04/2016,24416
03/04/2016,21068
04/04/2016,25182
05/04/2016,30155
06/04/2016,24132
07/04/2016,22338
08/04/2016,27357
09/04/2016,19858
10/04/2016,23389
11/04/2016,24162
12/04/2016,30801
13/04/2016,30285
14/04/2016,30566
15/04/2016,15919
16/04/2016,17801
17/04/2016,18274
18/04/2016,28512
19/04/2016,33719
20/04/2016,34577
21/04/2016,31937
22/04/2016,20532
23/04/2016,22060
24/04/2016,18873
25/04/2016,24389
26/04/2016,27862
27/04/2016,28431
28/04/2016,28901
29/04/2016,25658
30/04/2016,24844
01/05/2016,29664
02/05/2016,19598
03/05/2016,32037
04/05/2016,36514
05/05/2016,39104
06/05/2016,40117
07/05/2016,44532
08/05/2016,45301
09/05/2016,30821
10/05/2016,21673
11/05/2016,27922
12/05/2016,38525
13/05/2016,35109
14/05/2016,30442
15/05/2016,34725
16/05/2016,37441
17/05/2016,36810
18/05/2016,24335
19/05/2016,34655
20/05/2016,36101
21/05/2016,26785
22/05/2016,31115
23/05/2016,35451
24/05/2016,36580
25/05/2016,31919
26/05/2016,37442
27/05/2016,36133
28/05/2016,31301
29/05/2016,31246
30/05/2016,24041
31/05/2016,16227
01/06/2016,27156
02/06/2016,29162
03/06/2016,29580
04/06/2016,30140
05/06/2016,40836
06/06/2016,39528
07/06/2016,35137
08/06/2016,34588
09/06/2016,41546
10/06/2016,40139
11/06/2016,29018
12/06/2016,18109
13/06/2016,27571
14/06/2016,30218
15/06/2016,37704
16/06/2016,31406
17/06/2016,32018
18/06/2016,29692
19/06/2016,31372
20/06/2016,22309
21/06/2016,39003
22/06/2016,36628
23/06/2016,25129
24/06/2016,36530
25/06/2016,26357
26/06/2016,29597
27/06/2016,33695
28/06/2016,31701
29/06/2016,31496
30/06/2016,35867
01/07/2016,28108
02/07/2016,30802
03/07/2016,34195
04/07/2016,37628
05/07/2016,40955
06/07/2016,42871
07/07/2016,39670
08/07/2016,37311
09/07/2016,34525
10/07/2016,29556
11/07/2016,32781
12/07/2016,30186
13/07/2016,36128
14/07/2016,40364
15/07/2016,37045
16/07/2016,38916
17/07/2016,38340
18/07/2016,43497
19/07/2016,46625
20/07/2016,45156
21/07/2016,41731
22/07/2016,36401
23/07/2016,42121
24/07/2016,39070
25/07/2016,40999
26/07/2016,42528
27/07/2016,33646
28/07/2016,39009
29/07/2016,35737
30/07/2016,46251
31/07/2016,46276
01/08/2016,30074
02/08/2016,28949
03/08/2016,40683
04/08/2016,39488
05/08/2016,40570
06/08/2016,42579
07/08/2016,38620
08/08/2016,38117
09/08/2016,40052
10/08/2016,38917
11/08/2016,38034
12/08/2016,40645
13/08/2016,43792
14/08/2016,44648
15/08/2016,41764
16/08/2016,40899
17/08/2016,42879
18/08/2016,39379
19/08/2016,25862
20/08/2016,24712
21/08/2016,28625
22/08/2016,36064
23/08/2016,42558
24/08/2016,41088
25/08/2016,38191
26/08/2016,38222
27/08/2016,32656
28/08/2016,26325
29/08/2016,34665
30/08/2016,39992
31/08/2016,39344
01/09/2016,40302
02/09/2016,34661
03/09/2016,23805
04/09/2016,27901
05/09/2016,28210
06/09/2016,37982
07/09/2016,40232
08/09/2016,41004
09/09/2016,36554
10/09/2016,17308
11/09/2016,39906
12/09/2016,39687
13/09/2016,44035
14/09/2016,44909
15/09/2016,42598
16/09/2016,22204
17/09/2016,27548
18/09/2016,29830
19/09/2016,33401
20/09/2016,37658
21/09/2016,40646
22/09/2016,38411
23/09/2016,38963
24/09/2016,36243
25/09/2016,30015
26/09/2016,35059
27/09/2016,36094
28/09/2016,38893
29/09/2016,34840
30/09/2016,34140
01/10/2016,17832
02/10/2016,27335
03/10/2016,35892
04/10/2016,37162
05/10/2016,36314
06/10/2016,35332
07/10/2016,33361
08/10/2016,27236
09/10/2016,25390
10/10/2016,33045
11/10/2016,35254
12/10/2016,32552
13/10/2016,30762
14/10/2016,32637
15/10/2016,23773
16/10/2016,18685
17/10/2016,29007
18/10/2016,33062
19/10/2016,33953
20/10/2016,32624
21/10/2016,30838
22/10/2016,26322
23/10/2016,23812
24/10/2016,30329
25/10/2016,33313
26/10/2016,34322
27/10/2016,34203
28/10/2016,33769
29/10/2016,28114
30/10/2016,24166
31/10/2016,34747
01/11/2016,32334
02/11/2016,32316
03/11/2016,31111
04/11/2016,22143
05/11/2016,19649
06/11/2016,13576
07/11/2016,17329
08/11/2016,26382
09/11/2016,18878
10/11/2016,26075
11/11/2016,28088
12/11/2016,9709
13/11/2016,19258
14/11/2016,24824
15/11/2016,28810
16/11/2016,27646
17/11/2016,27692
18/11/2016,26884
19/11/2016,18288
20/11/2016,10704
21/11/2016,19374
22/11/2016,27723
23/11/2016,29047
24/11/2016,28091
25/11/2016,27692
26/11/2016,19805
27/11/2016,15628
28/11/2016,26980
29/11/2016,27847
30/11/2016,27119
01/12/2016,26431
02/12/2016,26223
03/12/2016,18120
04/12/2016,15448
05/12/2016,26456
06/12/2016,28347
07/12/2016,29735
08/12/2016,28632
09/12/2016,30076
10/12/2016,15054
11/12/2016,17713
12/12/2016,25476
13/12/2016,26747
14/12/2016,29130
15/12/2016,28449
16/12/2016,27926
17/12/2016,17473
18/12/2016,15152
19/12/2016,23736
20/12/2016,25106
21/12/2016,23329
22/12/2016,21659
23/12/2016,14534
24/12/2016,7978
25/12/2016,37401
26/12/2016,11637
27/12/2016,11003
28/12/2016,12530
29/12/2016,14206
30/12/2016,11684
31/12/2016,11584
01/01/2017,6534
02/01/2017,11954
03/01/2017,19622
04/01/2017,22122
05/01/2017,23580
06/01/2017,18973
07/01/2017,13879
08/01/2017,13506
09/01/2017,38042
10/01/2017,28106
11/01/2017,28270
12/01/2017,17109
13/01/2017,20963
14/01/2017,13766
15/01/2017,6752
16/01/2017,19230
17/01/2017,27281
18/01/2017,27194
19/01/2017,26826
20/01/2017,25125
21/01/2017,17552
22/01/2017,15628
23/01/2017,23280
24/01/2017,26611
25/01/2017,25175
26/01/2017,23831
27/01/2017,23387
28/01/2017,17523
29/01/2017,9078
30/01/2017,24969
31/01/2017,22623
01/02/2017,23181
02/02/2017,25601
03/02/2017,23231
04/02/2017,17324
05/02/2017,14570
06/02/2017,24312
07/02/2017,27156
08/02/2017,25770
09/02/2017,22900
10/02/2017,18673
11/02/2017,9394
12/02/2017,10272
13/02/2017,24159
14/02/2017,26649
15/02/2017,24330
16/02/2017,26649
17/02/2017,25883
18/02/2017,21292
19/02/2017,19169
20/02/2017,28665
21/02/2017,28929
22/02/2017,27290
23/02/2017,22520
24/02/2017,26832
25/02/2017,14132
26/02/2017,14911
27/02/2017,20001
28/02/2017,24755
01/03/2017,24746
02/03/2017,26938
03/03/2017,22914
04/03/2017,21546
05/03/2017,10593
06/03/2017,26917
07/03/2017,29174
08/03/2017,24440
09/03/2017,31113
10/03/2017,28126
11/03/2017,30560
12/03/2017,15850
13/03/2017,32177
14/03/2017,30857
15/03/2017,34548
16/03/2017,31876
17/03/2017,26481
18/03/2017,7771
19/03/2017,19335
20/03/2017,24145
21/03/2017,30182
22/03/2017,23725
23/03/2017,27639
24/03/2017,27578
25/03/2017,28374
26/03/2017,24090
27/03/2017,30887
28/03/2017,32314
29/03/2017,29907
30/03/2017,34219
31/03/2017,30730
01/04/2017,28237
02/04/2017,31064
03/04/2017,34287
04/04/2017,30887
05/04/2017,33985
06/04/2017,36003
07/04/2017,35434
08/04/2017,38878
09/04/2017,42854
10/04/2017,31158
11/04/2017,35436
12/04/2017,32570
13/04/2017,30343
14/04/2017,22357
15/04/2017,24627
16/04/2017,23090
17/04/2017,20130
18/04/2017,29490
19/04/2017,32500
20/04/2017,33546
21/04/2017,31510
22/04/2017,28323
23/04/2017,28736
24/04/2017,28500
25/04/2017,32383
26/04/2017,28360
27/04/2017,26727
28/04/2017,30390
29/04/2017,28450
30/04/2017,27461
01/05/2017,18493
02/05/2017,32945
03/05/2017,27191
04/05/2017,31200
05/05/2017,31355
06/05/2017,29020
07/05/2017,28491
08/05/2017,30426
09/05/2017,33211
10/05/2017,36305
11/05/2017,33911
12/05/2017,32618
13/05/2017,29539
14/05/2017,30145
15/05/2017,25882
16/05/2017,35964
17/05/2017,18926
18/05/2017,23268
19/05/2017,28730
20/05/2017,26825
21/05/2017,33728
22/05/2017,40021
23/05/2017,39259
24/05/2017,41644
25/05/2017,43528
26/05/2017,43701
27/05/2017,35354
28/05/2017,27909
29/05/2017,26476
30/05/2017,37517
31/05/2017,39019
01/06/2017,42514
02/06/2017,34459
03/06/2017,38635
04/06/2017,30840
05/06/2017,30846
06/06/2017,17387
07/06/2017,34819
08/06/2017,32751
09/06/2017,33705
10/06/2017,36788
11/06/2017,32997
12/06/2017,36114
13/06/2017,41337
14/06/2017,44762
15/06/2017,42249
16/06/2017,40288
17/06/2017,41719
18/06/2017,38577
19/06/2017,41624
20/06/2017,43185
21/06/2017,43885
22/06/2017,39708
23/06/2017,40025
24/06/2017,30271
25/06/2017,31012
26/06/2017,42096
27/06/2017,24206
28/06/2017,33008
29/06/2017,38137
30/06/2017,40350
01/07/2017,36183
02/07/2017,42875
03/07/2017,39970
04/07/2017,43784
05/07/2017,46035
06/07/2017,44386
07/07/2017,43547
08/07/2017,40196
09/07/2017,38912
10/07/2017,41086
11/07/2017,25955
12/07/2017,38377
13/07/2017,42082
14/07/2017,38932
15/07/2017,30690
16/07/2017,31595
17/07/2017,41811
18/07/2017,41804
19/07/2017,39340
20/07/2017,37164
21/07/2017,37967
22/07/2017,16392
23/07/2017,26432
24/07/2017,32515
25/07/2017,41029
26/07/2017,33566
27/07/2017,32588
28/07/2017,32857
29/07/2017,23334
30/07/2017,31893
31/07/2017,38541
01/08/2017,39837
02/08/2017,27123
03/08/2017,34430
04/08/2017,34893
05/08/2017,27715
06/08/2017,31536
07/08/2017,32303
08/08/2017,33854
09/08/2017,11525
10/08/2017,35707
11/08/2017,34462
12/08/2017,31034
13/08/2017,34928
14/08/2017,35979
15/08/2017,38181
16/08/2017,37037
17/08/2017,31947
18/08/2017,28252
19/08/2017,29156
20/08/2017,25270
21/08/2017,27725
22/08/2017,33327
23/08/2017,34439
24/08/2017,34548
25/08/2017,35108
26/08/2017,31442
27/08/2017,33657
28/08/2017,34862
29/08/2017,35427
30/08/2017,22542
31/08/2017,35953
01/09/2017,36194
02/09/2017,35246
03/09/2017,21934
04/09/2017,28710
05/09/2017,32336
06/09/2017,36559
07/09/2017,35614
08/09/2017,23199
09/09/2017,28349
10/09/2017,21298
11/09/2017,26886
12/09/2017,32569
13/09/2017,32583
14/09/2017,33252
15/09/2017,31628
16/09/2017,26166
17/09/2017,25300
18/09/2017,30718
19/09/2017,34917
20/09/2017,35149
21/09/2017,31174
22/09/2017,36125
23/09/2017,30654
24/09/2017,32726
25/09/2017,30066
26/09/2017,37394
27/09/2017,34694
28/09/2017,35526
29/09/2017,28782
30/09/2017,29003
01/10/2017,22814
02/10/2017,33891
03/10/2017,37187
04/10/2017,36798
05/10/2017,34779
06/10/2017,35344
07/10/2017,25505
08/10/2017,28830
09/10/2017,34182
10/10/2017,35961
11/10/2017,32760
12/10/2017,36372
13/10/2017,34229
14/10/2017,32123
15/10/2017,32696
16/10/2017,34787
17/10/2017,35199
18/10/2017,27348
19/10/2017,31069
20/10/2017,31306
21/10/2017,22475
22/10/2017,21013
23/10/2017,30604
24/10/2017,33732
25/10/2017,36064
26/10/2017,28423
27/10/2017,34654
28/10/2017,26633
29/10/2017,22228
30/10/2017,31364
31/10/2017,33312
01/11/2017,34747
02/11/2017,34290
03/11/2017,34716
04/11/2017,17801
05/11/2017,21588
06/11/2017,30663
07/11/2017,27314
08/11/2017,29455
09/11/2017,31374
10/11/2017,28480
11/11/2017,16679
12/11/2017,16460
13/11/2017,29301
14/11/2017,29355
15/11/2017,30564
16/11/2017,31112
17/11/2017,29876
18/11/2017,12976
19/11/2017,18874
20/11/2017,25998
21/11/2017,31316
22/11/2017,31315
23/11/2017,30147
24/11/2017,28930
25/11/2017,17691
26/11/2017,15229
27/11/2017,24324
28/11/2017,28202
29/11/2017,27319
30/11/2017,25986
01/12/2017,24321
02/12/2017,16887
03/12/2017,12773
04/12/2017,27613
05/12/2017,29611
06/12/2017,29058
07/12/2017,24810
08/12/2017,24431
09/12/2017,15509
10/12/2017,5143
11/12/2017,13055
12/12/2017,22780
13/12/2017,20074
14/12/2017,24064
15/12/2017,21107
16/12/2017,12229
17/12/2017,7519
18/12/2017,23414
19/12/2017,22935
20/12/2017,21801
21/12/2017,20945
22/12/2017,17124
23/12/2017,9725
24/12/2017,7498
25/12/2017,27305
26/12/2017,7149
27/12/2017,5426
28/12/2017,11236
29/12/2017,8346
30/12/2017,10908
31/12/2017,9292
01/01/2018,10235
02/01/2018,14394
03/01/2018,20265
04/01/2018,17543
05/01/2018,21759
06/01/2018,13920
07/01/2018,12259
08/01/2018,23374
09/01/2018,24683
10/01/2018,26787
11/01/2018,25222
12/01/2018,24696
13/01/2018,17512
14/01/2018,15070
15/01/2018,19161
16/01/2018,26921
17/01/2018,26934
18/01/2018,26471
19/01/2018,25799
20/01/2018,9398
21/01/2018,5859
22/01/2018,26337
23/01/2018,26003
24/01/2018,20206
25/01/2018,28189
26/01/2018,26430
27/01/2018,14472
28/01/2018,17512
29/01/2018,26371
30/01/2018,28002
31/01/2018,24117
01/02/2018,25525
02/02/2018,25331
03/02/2018,8975
04/02/2018,13833
05/02/2018,23898
06/02/2018,25349
07/02/2018,25388
08/02/2018,25791
09/02/2018,21037
10/02/2018,9956
11/02/2018,14621
12/02/2018,24719
13/02/2018,20931
14/02/2018,18866
15/02/2018,25264
16/02/2018,25411
17/02/2018,23169
18/02/2018,18624
19/02/2018,19879
20/02/2018,25055
21/02/2018,26434
22/02/2018,26179
23/02/2018,23067
24/02/2018,16522
25/02/2018,14037
26/02/2018,19204
27/02/2018,18741
28/02/2018,10619
01/03/2018,8744
02/03/2018,8234
03/03/2018,7924
04/03/2018,10853
05/03/2018,24818
06/03/2018,26301
07/03/2018,22044
08/03/2018,25967
09/03/2018,18912
10/03/2018,18717
11/03/2018,16259
12/03/2018,19996
13/03/2018,28069
14/03/2018,28769
15/03/2018,25318
16/03/2018,28308
17/03/2018,8106
