Date,Number of Bicycle Hires
13/06/2011,23978
14/06/2011,28889
15/06/2011,25643
16/06/2011,17566
17/06/2011,15723
18/06/2011,13721
19/06/2011,17092
20/06/2011,20101
21/06/2011,26780
22/06/2011,22745
23/06/2011,24559
24/06/2011,22137
25/06/2011,17944
26/06/2011,23483
27/06/2011,26243
28/06/2011,21950
29/06/2011,28073
30/06/2011,27297
01/07/2011,27758
02/07/2011,22764
03/07/2011,21423
04/07/2011,27332
05/07/2011,24802
06/07/2011,26207
07/07/2011,20483
08/07/2011,19485
09/07/2011,21360
10/07/2011,20203
11/07/2011,26355
12/07/2011,26633
13/07/2011,25417
14/07/2011,26479
15/07/2011,27114
16/07/2011,10224
17/07/2011,10965
18/07/2011,18541
19/07/2011,21218
20/07/2011,21580
21/07/2011,20951
22/07/2011,25172
23/07/2011,20264
24/07/2011,22464
25/07/2011,25185
26/07/2011,25636
27/07/2011,24989
28/07/2011,26759
29/07/2011,25373
30/07/2011,23930
31/07/2011,21388
01/08/2011,22940
02/08/2011,24290
03/08/2011,26120
04/08/2011,15149
05/08/2011,26792
06/08/2011,20485
07/08/2011,14912
08/08/2011,23489
09/08/2011,23011
10/08/2011,24182
11/08/2011,20573
12/08/2011,22971
13/08/2011,20731
14/08/2011,21115
15/08/2011,23657
16/08/2011,24899
17/08/2011,23010
18/08/2011,16139
19/08/2011,25444
20/08/2011,17334
21/08/2011,21836
22/08/2011,25222
23/08/2011,10953
24/08/2011,22883
25/08/2011,20026
26/08/2011,12368
27/08/2011,14045
28/08/2011,15908
29/08/2011,17443
30/08/2011,21477
31/08/2011,23036
01/09/2011,25110
02/09/2011,25981
03/09/2011,24578
04/09/2011,14967
05/09/2011,21776
06/09/2011,13863
07/09/2011,22746
08/09/2011,23679
09/09/2011,23957
10/09/2011,20069
11/09/2011,17719
12/09/2011,21572
13/09/2011,23962
14/09/2011,25824
15/09/2011,25803
16/09/2011,25567
17/09/2011,15147
18/09/2011,17327
19/09/2011,23708
20/09/2011,23676
21/09/2011,22730
22/09/2011,24601
23/09/2011,25114
24/09/2011,22113
25/09/2011,21211
26/09/2011,20527
27/09/2011,24841
28/09/2011,28434
29/09/2011,29039
30/09/2011,29139
01/10/2011,27129
02/10/2011,26906
03/10/2011,27559
04/10/2011,26131
05/10/2011,26263
06/10/2011,25083
07/10/2011,24529
08/10/2011,18154
09/10/2011,17643
10/10/2011,24198
11/10/2011,26184
12/10/2011,26323
13/10/2011,25149
14/10/2011,26542
15/10/2011,23663
16/10/2011,18530
17/10/2011,23892
18/10/2011,23791
19/10/2011,23259
20/10/2011,23157
21/10/2011,23253
22/10/2011,20482
23/10/2011,18560
24/10/2011,22842
25/10/2011,22771
26/10/2011,17621
27/10/2011,19360
28/10/2011,23158
29/10/2011,18228
30/10/2011,15443
31/10/2011,22999
01/11/2011,22747
02/11/2011,23724
03/11/2011,18676
04/11/2011,18774
05/11/2011,16434
06/11/2011,14317
07/11/2011,20365
08/11/2011,19231
09/11/2011,22542
10/11/2011,23475
11/11/2011,21140
12/11/2011,18933
13/11/2011,17744
14/11/2011,19913
15/11/2011,22245
16/11/2011,21639
17/11/2011,22802
18/11/2011,22461
19/11/2011,18706
20/11/2011,14829
21/11/2011,20824
22/11/2011,20341
23/11/2011,21855
24/11/2011,21870
25/11/2011,21598
26/11/2011,15803
27/11/2011,14362
28/11/2011,20167
29/11/2011,18718
30/11/2011,20956
01/12/2011,16481
02/12/2011,19146
03/12/2011,13776
04/12/2011,10276
05/12/2011,18176
06/12/2011,18943
07/12/2011,19279
08/12/2011,17313
09/12/2011,18421
10/12/2011,11864
11/12/2011,8368
12/12/2011,16554
13/12/2011,17111
14/12/2011,17543
15/12/2011,17081
16/12/2011,11778
17/12/2011,8925
18/12/2011,7485
19/12/2011,11270
20/12/2011,15685
21/12/2011,14158
22/12/2011,15099
23/12/2011,9131
24/12/2011,4890
25/12/2011,17998
26/12/2011,10953
27/12/2011,8076
28/12/2011,9888
29/12/2011,8368
30/12/2011,6900
31/12/2011,7793
01/01/2012,5171
02/01/2012,9091
03/01/2012,10094
04/01/2012,13936
05/01/2012,14191
06/01/2012,17713
07/01/2012,12556
08/01/2012,10487
09/01/2012,19472
10/01/2012,20548
11/01/2012,20958
12/01/2012,20879
13/01/2012,19691
14/01/2012,13843
15/01/2012,12149
16/01/2012,19136
17/01/2012,20170
18/01/2012,17972
19/01/2012,15441
20/01/2012,18703
21/01/2012,13339
22/01/2012,12845
23/01/2012,20193
24/01/2012,13269
25/01/2012,20836
26/01/2012,19515
27/01/2012,20775
28/01/2012,13272
29/01/2012,10949
30/01/2012,18955
31/01/2012,18176
01/02/2012,18208
02/02/2012,16916
03/02/2012,16185
04/02/2012,8348
05/02/2012,3531
06/02/2012,15202
07/02/2012,17722
08/02/2012,16442
09/02/2012,16363
10/02/2012,15117
11/02/2012,9912
12/02/2012,8020
13/02/2012,13172
14/02/2012,17946
15/02/2012,19396
16/02/2012,19505
17/02/2012,19444
18/02/2012,9463
19/02/2012,12655
20/02/2012,18802
21/02/2012,20861
22/02/2012,18112
23/02/2012,23391
24/02/2012,22067
25/02/2012,19349
26/02/2012,17646
27/02/2012,20936
28/02/2012,23423
29/02/2012,23692
01/03/2012,25116
02/03/2012,21928
03/03/2012,17697
04/03/2012,5062
05/03/2012,19342
06/03/2012,21102
07/03/2012,17096
08/03/2012,24123
09/03/2012,23609
10/03/2012,24721
11/03/2012,27758
12/03/2012,28856
13/03/2012,27528
14/03/2012,28296
15/03/2012,29969
16/03/2012,26452
17/03/2012,13391
18/03/2012,19184
19/03/2012,28391
20/03/2012,30817
21/03/2012,31175
22/03/2012,31135
23/03/2012,33635
24/03/2012,35091
25/03/2012,28607
26/03/2012,32368
27/03/2012,34563
28/03/2012,36539
29/03/2012,35954
30/03/2012,35666
31/03/2012,23038
01/04/2012,30513
02/04/2012,32142
03/04/2012,25956
04/04/2012,27912
05/04/2012,24383
06/04/2012,22354
07/04/2012,16848
08/04/2012,15717
09/04/2012,6214
10/04/2012,24898
11/04/2012,29345
12/04/2012,25772
13/04/2012,27673
14/04/2012,26193
15/04/2012,10188
16/04/2012,28188
17/04/2012,20105
18/04/2012,16651
19/04/2012,18759
20/04/2012,22730
21/04/2012,22014
22/04/2012,19707
23/04/2012,19262
24/04/2012,27522
25/04/2012,12737
26/04/2012,21740
27/04/2012,24263
28/04/2012,7827
29/04/2012,9951
30/04/2012,31909
01/05/2012,24523
02/05/2012,28381
03/05/2012,23768
04/05/2012,25503
05/05/2012,16009
06/05/2012,17160
07/05/2012,15227
08/05/2012,28585
09/05/2012,21758
10/05/2012,26164
11/05/2012,31385
12/05/2012,30699
13/05/2012,28778
14/05/2012,23344
15/05/2012,18409
16/05/2012,31453
17/05/2012,31219
18/05/2012,30945
19/05/2012,28474
20/05/2012,22286
21/05/2012,30905
22/05/2012,36720
23/05/2012,40486
24/05/2012,42008
25/05/2012,41357
26/05/2012,39358
27/05/2012,38781
28/05/2012,40872
29/05/2012,37962
30/05/2012,38803
31/05/2012,35630
01/06/2012,34524
02/06/2012,25283
03/06/2012,12207
04/06/2012,22649
05/06/2012,15537
06/06/2012,30297
07/06/2012,23066
08/06/2012,22224
09/06/2012,29258
10/06/2012,20876
11/06/2012,10252
12/06/2012,23742
13/06/2012,34447
14/06/2012,31593
15/06/2012,30944
16/06/2012,26300
17/06/2012,28531
18/06/2012,31089
19/06/2012,37601
20/06/2012,39267
21/06/2012,27052
22/06/2012,33027
23/06/2012,26900
24/06/2012,23509
25/06/2012,36337
26/06/2012,37652
27/06/2012,36767
28/06/2012,39571
29/06/2012,35321
30/06/2012,32982
01/07/2012,27438
02/07/2012,24963
03/07/2012,27163
04/07/2012,32433
05/07/2012,40565
06/07/2012,24723
07/07/2012,24782
08/07/2012,15855
09/07/2012,30523
10/07/2012,29723
11/07/2012,30544
12/07/2012,24736
13/07/2012,28875
14/07/2012,17999
15/07/2012,29938
16/07/2012,24218
17/07/2012,36788
18/07/2012,29841
19/07/2012,37032
20/07/2012,31187
21/07/2012,34776
22/07/2012,38620
23/07/2012,42309
24/07/2012,45748
25/07/2012,45024
26/07/2012,46891
27/07/2012,42815
28/07/2012,44617
29/07/2012,26352
30/07/2012,41891
31/07/2012,35805
01/08/2012,41603
02/08/2012,43183
03/08/2012,43045
04/08/2012,39082
05/08/2012,30150
06/08/2012,37198
07/08/2012,38134
08/08/2012,42263
09/08/2012,46050
10/08/2012,47102
11/08/2012,44111
12/08/2012,41734
13/08/2012,36101
14/08/2012,41532
15/08/2012,36557
16/08/2012,38181
17/08/2012,40821
18/08/2012,40577
19/08/2012,35370
20/08/2012,37997
21/08/2012,39185
22/08/2012,39962
23/08/2012,36578
24/08/2012,33329
25/08/2012,17802
26/08/2012,31939
27/08/2012,27522
28/08/2012,37362
29/08/2012,30916
30/08/2012,30379
31/08/2012,37406
01/09/2012,33123
02/09/2012,27997
03/09/2012,39941
04/09/2012,40298
05/09/2012,40606
06/09/2012,39864
07/09/2012,41414
08/09/2012,40978
09/09/2012,39006
10/09/2012,35489
11/09/2012,37276
12/09/2012,35654
13/09/2012,37938
14/09/2012,36653
15/09/2012,36493
16/09/2012,29785
17/09/2012,35954
18/09/2012,37026
19/09/2012,36136
20/09/2012,35929
21/09/2012,32347
22/09/2012,33867
23/09/2012,8452
24/09/2012,21229
25/09/2012,33706
26/09/2012,27202
27/09/2012,32416
28/09/2012,31880
29/09/2012,31223
30/09/2012,25263
01/10/2012,23627
02/10/2012,30107
03/10/2012,32695
04/10/2012,35136
05/10/2012,23773
06/10/2012,30424
07/10/2012,27168
08/10/2012,22984
09/10/2012,32965
10/10/2012,35221
