Movement Type, Movement Group
Air Transport, Commercial
Air Taxi, Commercial
Positioning Flights, Commercial
Local Movements, Commercial
Test And Training, Non Commercial
Other Flights, Non Commercial
Official, Non Commercial
Business Aviation, Non Commercial
Private Flights, Non Commercial
Aero Club, Non Commercial
Military, Non Commercial
